Restaurant,Code,Store ID,Order ID,Purchased,Price,Visit Type,Offset
Lincoln - Gateway,MG4C-NH76-WVYZ,1082,59,2017-09-21 10:29:53,11.96,0,100
Clumber St Nottingham,CWDC-4KWF-KN3C,79,91,2018-08-18 08:49:30,2.18,0,100
Worthing,CDBC-NWHR-ZNM6,121,53,2023-01-08 12:36:30,15.87,0,100
Barrow In Furness,MZRC-47HJ-VPM7,933,77,2023-06-23 13:36:34,3.28,0,100
Brighton - Asda,73RC-4QF7-4ZMF,1608,92,2023-07-31 14:56:02,2.19,0,100
York,CR4C-9QHX-W7KX,207,92,2023-03-21 12:21:37,1.39,0,200
Portishead,7WTC-FGHX-BNPZ,1347,68,2023-03-29 09:35:52,6.48,0,200
Queensgate Peterborough,C7YC-9PHY-477P,74,95,2023-06-28 21:32:40,12.13,0,200
Derby Markeaton Park,CQ6C-99FM-6ZCT,430,86,2023-07-19 21:40:19,1.99,0,200
Slough - The Prince Of Wales,MXRC-ZC74-TQLG,1008,0,2017-10-21 08:13:10,3.59,0,300
Liverpool Street,CQVC-ZFFM-4RFT,444,410,2023-07-20 17:00:06,5.97,0,300
Great Bridge,CYPW-4Y7M-YW67,620,2074,2017-08-17 20:35:02,3.77,3,125
Shirley,CQMW-N67V-GRZV,426,2030,2018-02-26 15:47:10,4.99,3,125
Reedswood,M9GW-4RWT-6QCP,918,2058,2018-12-21 23:35:49,10.13,3,125
Dagenham Fs-Dt,CZCW-6CWT-97YY,300,2000,2018-12-24 08:14:28,7.58,3,125
Hull St Andrews Quay,CLPW-N3DM-WKBG,345,2039,2019-02-02 12:21:37,,3,125
Maldon,M6LW-R9DY-QDNW,763,2086,2019-10-15 22:31:57,3.49,3,125
Birmingham - Small Heath,MGTW-NT66-9DXM,1097,2047,2019-12-17 10:40:17,3.49,3,125
Norwich Longwater,MRYW-N76B-4XHB,849,2027,2020-06-06 12:09:21,11.97,3,125
Festival Leisure Park Basildon,MH4W-N36J-RKLD,857,2039,2020-06-28 15:57:28,12.47,3,125
EASTLEIGH - ASDA,7FJW-NBN6-YPVW,1523,2046,2020-09-19 15:14:23,11.57,3,125
AYLESFORD,7HFW-6HN4-TVBV,1485,2009,2020-10-10 10:51:05,8.38,3,125
Oldbury,CXCW-RH4D-W7WC,375,2084,2021-05-28 14:43:18,,3,125
Newport - Lyne Road,MBNW-RR4L-H4W6,1156,2083,2021-09-05 23:03:18,17.39,3,125
Inverness - Inshes Retail Park,7HGW-RFRG-9JX9,1493,1785,2022-07-29 15:15:30,24.28,3,125
Bangor - Caernarfon Road,MP4W-6DHM-QNNC,1132,1704,2022-10-26 17:51:16,6.04,3,125
Mottram,MXFW-4NHD-HC7B,1010,1756,2022-11-24 17:12:32,5.79,3,125
Leeds - Kirkstall,MHBW-R4HD-XH7D,871,1982,2022-11-27 11:27:52,,3,125
Annandale Water Msa,7NLW-NFH6-7XLV,1413,135,2022-12-02 19:08:02,15.15,3,125
Sawyers Arms,MNKW-N6H4-7FQX,791,1930,2022-12-24 09:57:46,8.57,3,125
Castlemilk,7MXW-NLH4-ZQ3K,1290,1938,2022-12-28 20:59:51,12.17,3,125
Peterborough - Glinton,MTKW-NCHR-FZW3,1191,1925,2023-01-07 18:18:11,21.87,3,125
Tankersley,CJHW-RVHR-VBWD,584,1994,2023-01-11 19:48:02,4.28,3,125
Silverlink,CK9W-4FHH-L3JP,411,1960,2023-01-19 23:08:43,12.99,3,125
Fenton Dt,M9WW-69HZ-4FMM,903,1711,2023-02-18 19:51:37,9.68,3,125
Bramley,CKMW-NGHZ-KY4J,401,1943,2023-02-22 23:32:23,17.08,3,125
BIGGLESWADE,7ZRW-4ZHL-K6H7,1558,1962,2023-03-05 12:04:24,29.36,3,125
NORTHAMPTON KETTERING ROAD,7ZWW-NGH3-ZFWJ,1553,1743,2023-03-14 16:48:55,3.49,3,125
Frome - Sandy Hills Lane,MTVW-NDHX-9TWF,1194,1929,2023-03-25 07:48:07,14.20,3,125
Antrim - The Junction Retail Park,79HW-6PHX-ZR6H,1534,1920,2023-03-25 12:25:20,6.81,3,125
Coventry Walsgrave,CH7W-4DHX-YLP6,227,1754,2023-03-30 19:45:25,19.15,3,125
Ayr,CB9W-NQHK-9RHG,536,1742,2023-04-04 22:29:26,7.58,3,125
Gallows Corner,MPFW-69HG-7M6R,1135,1711,2023-04-22 14:35:57,19.96,3,125
Bromborough,CLVW-NVHG-99ZB,344,1944,2023-04-26 16:37:06,9.48,3,125
MATLOCK,7FHW-NFHG-LJH3,1509,1935,2023-04-27 18:24:03,,3,125
Kilmarnock,CPPW-6HHP-MHBC,520,1909,2023-05-14 00:36:01,7.48,3,125
Liverpool - Aigburth Road,MTYW-4PHB-6JP7,1199,1970,2023-05-26 20:30:24,12.71,3,125
Kilmarnock Bellfield Interchange,749W-R7HB-R9XY,1436,177,2023-05-27 22:40:44,7.48,3,125
Dumbarton,C3HW-4FHB-Q47N,359,1760,2023-05-31 18:32:18,12.50,3,125
Stanmore Cornerhouse,M6PW-R9HB-BCFP,770,1786,2023-06-02 09:25:59,3.38,3,125
Selby,77KW-NGHT-WKDR,1316,1943,2023-06-05 16:54:51,16.94,3,125
SNODLAND,73KW-49HT-NNM9,1616,1961,2023-06-06 19:56:07,25.87,3,125
MATLOCK,7FHW-RFHT-NH43,1509,1785,2023-06-06 21:17:52,8.68,3,125
Ayr,CB9W-NKHT-N9FG,536,1741,2023-06-06 22:10:34,7.48,3,125
Black Cat,MD3W-RGHT-ZNTL,739,1793,2023-06-09 10:47:26,3.19,3,125
Derby Markeaton Park,CQ6W-4GHT-XBMV,430,1968,2023-06-10 23:56:11,13.18,3,125
Wakefield 2,CTVW-6DHJ-7MXP,569,1904,2023-06-15 20:50:51,13.68,3,125
Harlow - Hastingwood,M3QW-RKHJ-77KH,992,1991,2023-06-15 21:16:22,,3,125
Festival Leisure Park Basildon,MH4W-4BHJ-7D9K,857,1771,2023-06-15 22:01:52,15.42,3,125
Glasgow - Kirkintilloch,MG6W-6LHJ-RGN4,1080,1913,2023-06-18 18:16:49,12.93,3,125
Newton Abbot,M6BW-6QHJ-9C9F,771,1717,2023-06-19 18:06:47,17.04,3,125
Stroud,7MKW-RVHJ-Q93R,1291,2094,2023-06-22 13:14:36,15.70,3,125
Bangor-Bloomfield Shopping Centre,CGDW-R9HJ-TQ7Z,454,186,2023-06-24 19:37:24,12.98,3,125
Castlemilk,7MXW-4JHY-M3ND,1290,1973,2023-06-26 12:06:47,8.19,3,125
Banbury - Beaumont Rd,MNYW-66HY-MG7H,799,1905,2023-06-26 13:42:12,6.11,3,125
Manchester - Baguley,MQZW-RLHY-RB9Y,1062,1988,2023-06-29 16:01:35,6.45,3,125
Staines - Ashford,7RHW-69HY-FKBC,1459,111,2023-06-30 10:56:26,10.28,3,125
MATLOCK,7FHW-RBFC-7XFV,1509,1796,2023-07-07 19:25:55,8.88,3,125
Oldfields Road Dt,M99W-RJFC-NPXX,911,1798,2023-07-09 15:15:51,24.93,3,125
STOURBRIDGE,7FMW-4MFC-473M,1501,1751,2023-07-09 18:09:35,13.22,3,125
Camberley 2,MHZW-NLFC-VQTK,862,1938,2023-07-15 05:32:54,5.07,3,125
Elk Mill Retail Park,MCFW-6PFC-PPM7,635,1720,2023-07-15 16:51:29,33.24,3,125
Worksop,MRGW-NNFC-PJ9M,843,1931,2023-07-15 18:16:05,,3,125
Glengormley - Belfast,MWBW-RQFM-CBLT,721,1792,2023-07-17 21:33:00,4.08,3,125
DALKEITH,793W-6KFM-7NV4,1539,1916,2023-07-18 12:14:52,17.50,3,125
MATLOCK,7FHW-R7FM-W7VD,1509,1777,2023-07-18 20:59:04,8.88,3,125
Ashford Orbital Park,M4QW-N3FM-DTBR,817,1739,2023-07-19 15:46:03,11.75,3,125
Greenhithe-The Railway Tavern,MZWW-RHF7-CF4N,928,1784,2023-07-28 13:17:30,3.98,3,125
Abingdon,CYMW-NGF7-W7RP,601,1943,2023-07-29 17:13:05,2.19,3,125
Hamilton Palace,M3CW-RDF7-QFHM,975,1779,2023-08-04 22:24:38,20.26,3,125
Stirling - Drip Road,MKVW-FWNM-KGNK,1044,28,2020-08-03 17:11:05,14.31,3,225
Sutton Coldfield,CRGW-ZYHN-KHBP,218,99,2022-12-19 15:01:03,8.72,3,225
WELSHPOOL - BUTTINGTON CROSS,73XW-F4H4-J9PT,1615,32,2023-01-02 13:10:37,,3,225
Derby Markeaton Park,CQ6W-HXFM-6RLB,430,15,2023-07-19 20:13:33,1.99,3,225
Brompton Rd,CQZW-KZMT-BKBF,437,87,2017-07-04 09:21:17,0.99,3,325
Balham,CM6W-3V7N-3K3D,30,44,2017-10-07 00:04:33,,3,325
Poole - Wessex Gate Retail Park,MLGW-LR7K-JGXV,968,8,2018-01-27 10:50:40,1.69,3,325
TONBRIDGE - CANNON LANE,7HYW-LN4L-RFRR,1499,6,2021-09-05 13:58:11,4.89,3,325
SKELTON,7FQW-XVHD-DPVH,1517,69,2022-11-22 21:44:32,2.28,3,325
Halesowen - Bromsgrove Road,CY6W-KFHX-JK4F,605,85,2023-03-30 10:22:34,6.78,3,325
Watford Gap Northbound Msa,7DPW-KQFV-DXGY,1370,92,2024-01-30 20:18:47,2.19,3,325
Forest Gate,C3JW-Q3W4-WCZV,373,14,2018-07-11 01:37:36,3.87,3,425
Manchester Piccadilly Gardens,7H6W-Q4DW-PMGQ,1480,7,2019-03-03 07:58:32,1.99,3,425
Folkestone Sainsburys,MNCW-VV69-XJ6B,775,69,2020-02-22 14:35:36,,3,425
South Harrow - Shaftesbury,MX6W-QBHT-XCVD,1005,21,2023-06-10 15:29:01,7.46,3,425
Hamilton Palace,M3CW-TH7Q-N9BX,975,34,2018-01-30 19:21:07,7.14,3,525
Burton On Trent,MGVW-YLDN-QN44,1094,88,2019-04-03 15:52:11,,3,525
Warren Street,CMVW-BMD9-F6K9,44,1,2019-05-24 20:46:35,2.18,3,525
Witney,MNVW-YYDX-NLL7,794,99,2019-07-05 16:03:47,,3,525
Preston Deepdale,MFGW-YV4T-RY6V,893,94,2021-12-12 11:30:36,19.95,3,525
Waverley Market,MJFW-YNRK-P66H,1210,81,2022-07-11 12:30:01,6.33,3,525
Moor Farm,MLZW-Y3HD-YTP9,962,89,2022-12-01 14:55:38,,3,525
Burton,CDJW-JFHX-JJKW,123,60,2023-03-30 13:26:10,10.15,3,525
Preston Deepdale,MFGW-TWHP-FRT3,893,28,2023-05-17 21:57:37,11.66,3,525
Cardiff Bay,M4DW-YRHY-XWK3,804,83,2023-07-02 09:31:04,,3,525
Worksop,MRGW-B6F7-DQ4K,843,5,2023-07-30 09:52:35,13.55,3,525
Swindon Green Bridge,CJKD-NZND-BPVJ,591,62,2020-09-07 11:34:25,2.18,4,100
Kingston-Upon-Hull,CRFD-NZRZ-JZGP,210,62,2022-05-30 13:13:26,1.79,4,100
Stoke,CQFD-NTHX-M6VQ,435,72,2023-03-21 13:39:27,6.67,4,100
Brynmawr,7XJD-6ZHY-FLHX,1648,37,2023-06-30 09:29:53,5.00,4,100
Aylesbury 2,C9BD-LZRJ-CZMC,296,37,2022-09-16 21:56:56,11.47,4,300
St Pauls,7FP6-9LH3-YZBV,1520,13,2023-03-19 22:56:13,11.58,5,275
Oxford,CN66-KMDT-49D4,155,26,2019-09-20 00:24:21,6.88,5,375
Milton Keynes,CMHN-DG7K-MD7V,34,68,2018-01-17 15:37:48,2.88,6,50
